article_id,study_id,citation,citation_full,authors,title,year,journal,pub_type,email,suppl_articles,country,easting,northing,KPG_zone,site_id,soil_text_class,USDA_soil_class,FAO_soil_class,soil_comments,field_hist_descr,descr_field_history,interv_start,interv_end,last_meas_month,last_meas_year,total_months,interv_type,multiple_interv_codes,treatments,treatment_details,study_design,experimental_design,spatial_replic,temporal_replic,outcome,sampling_equip,open_closed,transp_opaque,sampling_equip_descr,quantif_method,comments,reviewer
92,a,di Gioia (2017),"Di Gioia F, Ozores-Hampton M, Zhao X, Thomas J, Wilson P, Li Z, Hong J, Albano J, Swisher M, Rosskopf E. Anaerobic soil disinfestation impact on soil nutrients dynamics and nitrous oxide emissions in fresh-market tomato. Agriculture, Ecosystems and Environmen.t 2017: 240; 194-205.","Di Gioia F, Ozores-Hampton M, Zhao X, Thomas J, Wilson P, Li Z, Hong J, Albano J, Swisher M, Rosskopf E",Anaerobic soil disinfestation impact on soil nutrients dynamics and nitrous oxide emissions in fresh-market tomato,2017,"Agriculture, Ecosystems and Environment",Article,fdigioia@ufl.edu,,USA,456533,2926862,Cfa,Immokalee,Sand,Spodosol,,"In
 Immokalee, the soil was a Spodosol classified as Immokalee
 fine
 sand (sandy, siliceous, hyperthermic Arenic Haplaquods)",No,,February,2015,February,2015,1,Other,"Anaerobic soil disinfestation (ASD), chemical soil fumigation (CSF),",3,"Conventional CSF was compared with
 two ASD treatments, which consisted of amending the soil with
 22 Mg ha1 of CPL and two rates of molasses [13.9 (ASD1) and
 27.7 m3 ha1 (ASD2)] as the C source.",CI,Randomized Complete Block,4,No,N2O,Static chamber,,,"Emissions were collected using custom made static chambers made from 4.7 L stainless steel bowls. The bowls were placed on top of the polyethylene mulched bed in randomly selected positions and were sealed with grease. Each stainless steel bowl had a hole at the top of the head space on which was mounted a 9.5 mm silicone/PTFE septum (Alltech Microsep F-174N) by means of a stainless steel bulkhead union sealed with epoxy cement. Gas samples were collected at intervals of 15 min for 60 min at each monitoring time. Through the silicon septum of each static chamber, 10 mL of surface air were withdrawn using a gas tight plastic syringe attached to a 10-cm long metal needle by means of a 3–4 cm Masterflex silicone rubber tube. Air samples collected were trapped in non-coated 10 mL Vacutainer1 sampling tubes (BD Diagnostics, Franklin Lakes, NJ, USA).","Nitrous oxide concentrations in the samples were measured by
 gas chromatography (GC) using a Perkin-Elmer Clarus 400 GC
 equipped with an electron capture detector (ECD) and a 80/100
 Porapak Q stainless steel column measuring 1.8 m (length)
 
 3.18
 mm (OD)
 
 2.1 mm (ID) (Supelco catalog # 12437)",,JR
,b,di Gioia (2017),"Di Gioia F, Ozores-Hampton M, Zhao X, Thomas J, Wilson P, Li Z, Hong J, Albano J, Swisher M, Rosskopf E. Anaerobic soil disinfestation impact on soil nutrients dynamics and nitrous oxide emissions in fresh-market tomato. Agriculture, Ecosystems and Environmen.t 2017: 240; 194-205.","Di Gioia F, Ozores-Hampton M, Zhao X, Thomas J, Wilson P, Li Z, Hong J, Albano J, Swisher M, Rosskopf E",Anaerobic soil disinfestation impact on soil nutrients dynamics and nitrous oxide emissions in fresh-market tomato,2017,"Agriculture, Ecosystems and Environment",Article,fdigioia@ufl.edu,,USA,386380,3253902,Cfa,Citra,Loamy sand,,,"in
 Citra the soil was a Gainesville loamy sand (hyperthermic, coated
 typic quartzipsamments).",No,,March,2015,April,2015,2,Other,"Anaerobic soil disinfestation (ASD), chemical soil fumigation (CSF),",3,"Conventional CSF was compared with
 two ASD treatments, which consisted of amending the soil with
 22 Mg ha1 of CPL and two rates of molasses [13.9 (ASD1) and
 27.7 m3 ha1 (ASD2)] as the C source.",CI,Randomized Complete Block,4,No,N2O,Static chamber,,,"Emissions were collected using custom made static chambers made from 4.7 L stainless steel bowls. The bowls were placed on top of the polyethylene mulched bed in randomly selected positions and were sealed with grease. Each stainless steel bowl had a hole at the top of the head space on which was mounted a 9.5 mm silicone/PTFE septum (Alltech Microsep F-174N) by means of a stainless steel bulkhead union sealed with epoxy cement. Gas samples were collected at intervals of 15 min for 60 min at each monitoring time. Through the silicon septum of each static chamber, 10 mL of surface air were withdrawn using a gas tight plastic syringe attached to a 10-cm long metal needle by means of a 3–4 cm Masterflex silicone rubber tube. Air samples collected were trapped in non-coated 10 mL Vacutainer1 sampling tubes (BD Diagnostics, Franklin Lakes, NJ, USA).","Nitrous oxide concentrations in the samples were measured by
 gas chromatography (GC) using a Perkin-Elmer Clarus 400 GC
 equipped with an electron capture detector (ECD) and a 80/100
 Porapak Q stainless steel column measuring 1.8 m (length)
 
 3.18
 mm (OD)
 
 2.1 mm (ID) (Supelco catalog # 12437)",,JR
93,,Dicke (2015),"Dicke C, Andert J, Ammon C, Kern J, Meyer-Aurich A, Kaupenjohann M. Effects of different biochars and digestate on N2O fluxes under field conditions. Science of the Total Environment. 2015: 524-525; 310-318.","Dicke C, Andert J, Ammon C, Kern J, Meyer-Aurich A, Kaupenjohann M",Effects of different biochars and digestate on N2O fluxes under field conditions,2015,Science of the Total Environment,Article,cdicke@atb-potsdam.de,,Germany,390219,5820722,Cfb,,Sandy loam,,Cambisols,"The soil is classified as a haplic Cambisol.
 The A horizon has a bulk density of 1.53 g cm^_3 and contained 71.2%
 sand, 22.2% silt and 6.6% clay.",No,,October,2012,September,2013,12,Multiple-intervention,"Biochar, Organic fertilizer, Chemical fertilizer",8,8 treatments; 1) No biochar added 2) 40.1 t/ha of maize silage produced through anearobic digestion (digestate) 3) 10.9 t/ha of maize sillage produced through pyrolysis 4) 65.7 t/ha of maize sillage produced through pyrolysis treated with digestate 5) 26.6 t/ha of maize silage biochar produced through hydrothermal carbonization 6) 69.1 t/ha of maize silage biochar produced through hydrothermal carbonization treated with digestate 7) 18.8 t/ha Residue of wood chip production biochar produced through pyrolysis 8) 18.8 t/ha Residue of wood chip production biochar produced through pyrolysis treated with digestate,CI,Randomized Complete Block,4 per treatment,No,N2O,,Closed,,"nitrous oxide (N2O) was collected, using closed cylindrical
 chambers with a volume of 0.064 m3 (lower diameter 0.51 m, upper
 diameter 0.39 m, height 0.4 m) placed on a collar with a water sealing.","gas chromatograph; GC-injection system
 (GC: Shimadzu GC 14G). Nitrous oxide was analysed by using an
 electron capture detector (ECD),",,CRA
94,a,Dondini (2016),"Dondini M, Richards MIA, Pogson M, McCalmont J, Drewer J, Marshall R, Morrison R, Yamulki S, Harris ZM, Alberti G, Siebicke L, Taylor G, Perks M, Finch J, McNamara NP, Smith JU, Smith P. Simulation of greenhouse gases following land-use change to bioenergy crops using the ECOSSE model: a comparison between site measurements and model predictions. Global Change Biology Bioenergy. 2016: 8; 925-940.","Dondini M, Richards MIA, Pogson M, McCalmont J, Drewer J, Marshall R, Morrison R, Yamulki S, Harris ZM, Alberti G, Siebicke L, Taylor G, Perks M, Finch J, McNamara NP, Smith JU, Smith P",Simulation of greenhouse gases following land-use change to bioenergy crops using the ECOSSE model: a comparison between site measurements and model predictions,2016,Global Change Biology Bioenergy,Article,marta.dondini@abdn.ac.uk,,United Kingdom,661356,5910079,Cfb,Lincolnshire,,,,"The soil 
 association is Beccles 1, fine loam over clay and the bedrock is
 Charnmouth mudstone formation. The soil pH was 7.13 ± 0.02
 (standard deviation (SD) of 3 replicates) in the Miscanthus. Carbon % = 1.30%, Nitrogen % = 0.13%, Bulk density = 1.53 g/cm3",Yes,"Directly prior to conversion, both bioenergy crop fields
 had 3 years of wheat cultivation.",NR,2006,December,2013,,Other,,,Two transitions of conventional crops on arable fields to bioenergy Miscanthus crop,BA,Paired design,,No,"CH4, N2O, CO2",Eddy flux covariance tower,,,"At each bioenergy and reference field, the NEE data were
 obtained from continuous EC measurements (McMillen, 1988;
 Aubinet et al., 2012) using open path IRGAs (LI-7500) and sonic
 anemometers. Soil GHG fluxes were measured on a monthly basis at eight
 points randomly distributed within each field. Soil CO2 fluxes
 were measured using an IRGA connected to an SRC-1 soil
 respiration chamber (PP Systems, Amesbury, MA, USA). Measurements
 of soil CH4 and N2O fluxes were made using a static
 chamber method (approx. 30 l) with the addition of a vent to
 compensate for pressure changes within the chamber during
 times of sampling.",Gas samples were analysed by gas chromatograph.,Soil information from Bradley et al (2005),JR
,b,Dondini (2016),"Dondini M, Richards MIA, Pogson M, McCalmont J, Drewer J, Marshall R, Morrison R, Yamulki S, Harris ZM, Alberti G, Siebicke L, Taylor G, Perks M, Finch J, McNamara NP, Smith JU, Smith P. Simulation of greenhouse gases following land-use change to bioenergy crops using the ECOSSE model: a comparison between site measurements and model predictions. Global Change Biology Bioenergy. 2016: 8; 925-940.","Dondini M, Richards MIA, Pogson M, McCalmont J, Drewer J, Marshall R, Morrison R, Yamulki S, Harris ZM, Alberti G, Siebicke L, Taylor G, Perks M, Finch J, McNamara NP, Smith JU, Smith P",Simulation of greenhouse gases following land-use change to bioenergy crops using the ECOSSE model: a comparison between site measurements and model predictions,2016,Global Change Biology Bioenergy,Article,marta.dondini@abdn.ac.uk,,United Kingdom,661356,5910079,,Aberystwyth,,,,"Carbon % = 0.98%, Nitrogen % = 0.25%, Bulk density = 1.21 g/cm3",No,,NR,2012,December,2013,,Other,,,Two transitions of conventional crops on arable fields to bioenergy Miscanthus crop,BA,Paired design,,No,"CH4, N2O, CO2",Eddy flux covariance tower,,,"At each bioenergy and reference field, the NEE data were
 obtained from continuous EC measurements (McMillen, 1988;
 Aubinet et al., 2012) using open path IRGAs (LI-7500) and sonic
 anemometers. Soil GHG fluxes were measured on a monthly basis at eight
 points randomly distributed within each field. Soil CO2 fluxes
 were measured using an IRGA connected to an SRC-1 soil
 respiration chamber (PP Systems, Amesbury, MA, USA). Measurements
 of soil CH4 and N2O fluxes were made using a static
 chamber method (approx. 30 l) with the addition of a vent to
 compensate for pressure changes within the chamber during
 times of sampling.",Gas samples were analysed by gas chromatograph.,,JR
95,,Escanhoela et al (2019),"Escanhoela ASB, Pitombo LM, Brandani CB, Navarrete AA, Bento CB, do Carmo JB. Organic management increases soil nitrogen but not carbon content in a T tropical citrus orchard with pronounced N2O emissions. J. Env. Manage. 2019; 234: 326-335","Escanhoelaa ASB, Pitombob LM, Brandania CB, Navarretea AA, Bentoa CB, do Carmo JB",Organic management increases soil nitrogen but not carbon content in a T tropical citrus orchard with pronounced N2O emissions,2019,Journal of Environmental Management,Article,jbcarmo2008@gmail.com,,Brazil,243168,2609585,Cfa,,,,,Udox - The soil had dominantly clayey texture from 0 to 100 cm depth in all opened pits (403–512 g kg_1 clay; 188–260 g kg_1 silt; and 286–372 g kg_1 sand) according to EMBRAPA (1997),Yes,"The conversion from forest to citrus orchard was performed 42 years before the experiment was installed, and since the conversion, the orchards have been replanted approximately every 10 years. Both orchards had the same history and soil management until the conversion from conventional to organic management.",NA,2006,March,2013,75,Multiple-intervention,"Chemical fertiliser, Organic fertiliser",2,"On annual basis, the conventional management system received 856.8 kg ha_1 of NPK (15-10-15). This dose was split in three appli- cations as follows: 55.1 kg ha_1 of N as NH4NO3, 36.7 kg ha_1 of P2O5 as triple superphosphate and 55.1 kg ha_1 of K2O as KCl in the first application; and in the second and third applications, 36.7 kg ha_1 of N as NH4NO3, 24.5 kg ha_1 of P2O5 as triple superphosphate and 36.7 kg ha_1 of K2O as KCl. Following the same fertilizer doses, chambers allocated at fertilized areas (canopy projection) received manually on the first fertilizer application 0.78 g of N-NH4NO3, 0.52 g of P2O5 and 0.78g of K2O. On the second application, the same chambers received 0.52 g of N-NH4NO3, 0.35 g of P2O5 and 0.52 of K2O.
 Organic managed orchards received 12 Mg ha_ 1 year_ 1 of fertilizer containing 78.8% poultry litter, 19.7% clay peat and 1.5% ulexite. This fertilizer amount was split in three doses of 4 Mg ha_1 each. Organic fertilizer contained 3.84% N and 28.5% C, which led to an annual input of 376 kg N ha_1 and 2742 kg C ha_1. According to the fertilizer sup- plier and literature (Tyson and Cabrera, 1993), the organic fertilizer has a short-term N availability equivalent to about 30%. Therefore, the supply of N for the crop was assumed to be similar in the organic and the conventional management systems. Chambers at the canopy pro- jection received 56.5 g of organic fertilizer on both the first and second applications of fertilizer.",CI,Paired design,1 per treatment,No,"CH4, N2O, CO2",Static chamber,,,"C-CO2, C-CH4 and N-N2O emissions from soil were measured using the chamber-based method (Varner et al., 2003) between September 2012 and March 2013. We used an intensive monitoring approach, resulting in 65 and 70 sampling events in the organic and conventional managements, respectively. Two fertilizer applications were covered during this period, following the farm management routine. In each site, 4 cylindrical PVC bases (30 cm in diameter, 22 cm in height) were installed under the canopy of trees, which is the fertilized area of the orchard; additionally, two other chambers were installed at the mid- row position. Emissions from chambers at unfertilized positions were used to calculate the direct N-N2O emissions from chambers with fer- tilizers.
 All samplings were performed between 7:00 and 12:00 a.m. After closing the chambers, 60-mL samples were collected at 1, 10, 20 and 30 min using syringes and stored under pressure in 20-mL evacuated penicillin flasks sealed with gas-impermeable butyl-rubber septa.","Nitrous oxide concentrations were determined by gas chromatography with an electron capture detector (GC 2014 Shimadzu, Kyoto, Japan), whereas CO2 and CH4 were detected by flame ioniza- tion. The system was equipped with a HayeSepTM N packed column (1.5m, 80–100 mesh) for N2O separation. Helium was used as the carrier gas.",,JJT
96,,Escobar (2010),"Escobar LF, Amado TLC, Bayer C, Chavez LF, Zanatta JA, Fiorin JE. Postharvest nitrous oxide emissions from a subtropical oxisol as influenced by summer crop residues and their management. Revista Brasileira de Ciência do Solo. 2010: 34; 507-516.","Escobar LF, Amado TLC, Bayer C, Chavez LF, Zanatta JA, Fiorin JE",Postharvest nitrous oxide emissions from a subtropical oxisol as influenced by summer crop residues and their management,2010,Revista Brasileira de Ciência do Solo,Article,luisaesc@yahoo.com,,Brazil,239222,6833423,Cfa,,Clay,,,"The soil is classified as typic dystrophic Red Latosol by the
 Brazilian Soil Taxonomy System (Embrapa, 2005),
 and as Rhodic Hapludox by the USDA Soil Taxonomy
 (USDA, 1999).",Yes,"The study was carried out in a 22-year experiment
 conducted at the Fundação Centro de Experimentação
 e Pesquisa Fecotrigo (FUNDACEP), Cruz Alta, state Maize was harvested on February 28,
 2007, and radish oil was planted immediately after
 the harvest, while soybean was harvested on April
 18, 2007. The cover crop used after soybean harvest
 was black oat + common vetch, sown with a seed drill
 SHM 1517.
 of Rio Grande do Sul (RS), Brazil.",May,2007,May,2007,1,Tillage,,2,"two tillage treatments; (CT:
 conventional tillage with plowing + disking operations
 and NT: no-till with minimum soil disturbance) Conventional tillage (CT) consisted of
 plowing to a depth of 0.20 m, followed by harrow
 disking to a depth of 0.15 m, within an interval of
 two days between plowing and harrow disking. In
 the NT System, the winter cover crop was sown on
 the maize and soybean residues and soil tilling was
 restricted to the crop rows.",CI,Paired design,1 per treatment,No,N2O,Static chamber,,,"Air samples
 for N2O analysis were taken using polyvinyl chloride
 (PVC) static chambers (height 0.20 m, diameter
 0.25 m). The chambers
 were placed on an aluminum base which was inserted
 0.05 m deep into the soil and maintained in the
 experimental plot during the entire evaluation period.","gas chromatograph Shimadzu GC 2014 Greenhouse
 model, equipped with an electron capture detector
 (ECD), and a Porapack Q column at 70 °C, using N2
 as the carrier gas at a flow of 26 mL min^-1, injector
 temperature of 250 °C and detector temperature of
 325 °C.",,CRA
97,,Fabrizio (2009),"Fabrizio A, Tambone F, Genevini P. Effect of compost application rate on carbon degradation and retention in soils. Waste Management. 2009: 29; 174-179.","Fabrizio A, Tambone F, Genevini P",Effect of compost application rate on carbon degradation and retention in soils,2009,Waste Management,Article,fabrizio.adani@unimi.it,,Italy,520803,5047789,Cfa,,Silty clay,,Cambisols,"silty-clay, Fluvic-eutric Cambisol",Yes,It was regularly cultivated with maize,May,2005,October,2005,6,Organic fertiliser,,3,"3 treatments; soil without compost (control), soil with 50 Mg/ha, and soil with 85 Mg/ha.",CI,Randomized Complete Block,2 per treatment,No,CO2,,,Opaque,"steel funnel (5-1 volume) two thermometric probes, a CO2 glass electrode, and a data logger. The steel funnel was positioned on the soil with the border at a soil depth of 5 cm.","CO2 analyzer (COMBI-CO2, COSTHEC)",,CRA
98,,Fang (2016),"Fang B, Lee X, Zhang J, Li Y, Zhang L, Cheng J, Wang B, Cheng H. Impacts of straw biochar on agricultural soil quality and greenhouse gas fluxes in karst area, Southwest China. Soil Science and Plant Nutrition. 2016: 62(5-6); 526-533.","Fang B, Lee X, Zhang J, Li Y, Zhang L, Cheng J, Wang B, Cheng H","Impacts of straw biochar on agricultural soil quality and greenhouse gas fluxes in karst area, Southwest China",2016,Soil Science and Plant Nutrition,Article,lee@mail.gyig.ac.cn,,China,701763,2988061,Cfa,,,,,The soil is classified as calcareous soil,No,,June,2010,March,2012,22,Biochar,,4,"Four treatments were compared for the experiment: the biochar was mixed with soil at rates of 0, 2, 5 and 10% [C0, C2, C5 and C10, respectively; weight/weight (w/w)]. Those concentrations corresponded to applications of 0, 26, 64 and 128 t ha_1. Soil in the C0 treatment was tilled and mixed in a similar fashion to the other treatments to maintain consistency",CI,Randomized Complete Block,3 per treatment,No,"CH4, N2O, CO2",Static chamber,Closed,Opaque,Stainless steel flux collars (0.3 m _ 0.3 m) were installed between rows per plot 1 week before gas measurement without covering the vegetable plants. The top edge of the collar had a U-shape groove filled with water to seal the rim of a chamber that was attached to the collar during gas collection. A static enclosed chamber (chamber height 0.5 m) with opaque aluminum foil wrapped around i,gas chromatography (Agilent7890A) equipped with a flame ionization detector (FID),,CRA
99,,Fangueiro (2015),"Fangueiro D, Surgy S, Fraga I, Cabral F, Coutinho J. Band application of treated cattle clurry as an alternative to slurry injection: Implications for gaseous emissions, soil quality, and plant growth. Agriculture, Ecosystems and Environment. 2015: 211; 102-111.","Fangueiro D, Surgy S, Fraga I, Cabral F, Coutinho J","Band application of treated cattle slurry as an alternative to slurry injection: Implications for gaseous emissions, soil quality, and plant growth",2015,"Agriculture, Ecosystems and Environment",Article,dfangueiro@isa.ulisboa.pt,,Portugal,515680,4269076,Csa,,Sand,,Arenosols,"The soil has a sandy texture and was classified as Haplic Arenosol (IUSS,
 2006).",Yes,"The soil had not received any fertilization in the
 preceding 10 years.",NR,NR,NR,NR,5,Multiple-intervention,"Organic fertilizer, Other",6,"6 treatments; band
 application of acidified cattle slurry (Band-ARS), the liquid fraction (Band-LF), or acidified LF (Band-ALF)
 relative to raw cattle slurry injection (RSI). Two control treatments were also considered: the traditional
 broadcast application of raw slurry, immediately followed by soil incorporation (Broad-RS), and an
 unfertilized plot (CTR).",CI,Randomized Complete Block,3 per treatment,No,"CH4, N2O",,Closed,,"The chambers (23 cm width x 24 cm
 height) were inserted into the soil to a depth of 8 cm immediately
 after slurry or LF application and remained there until the end of
 the experiment.",,,CRA
100,,Fangueiro (2018),"Fangueiro D, Pereira JLS, Fraga I, Surgy S, Vasconcelos E, Coutinho J. Band application of acidified slurry as an alternative to slurry injection in a Mediterranean double cropping system: Agronomic effect of gaseous emissions. Agriculture, Ecosystems and Environment. 2018: 267; 87-99.","Fangueiro D, Pereira JLS, Fraga I, Surgy S, Vasconcelos E, Coutinho J",Band application of acidified slurry as an alternative to slurry injection in a Mediterranean double cropping system: Agronomic effect of gaseous emissions,2018,"Agriculture, Ecosystems and Environment",Article,dfangueiro@isa.ulisboa.pt,"Fangueiro et al. (2015c, 2017)",Portugal,484058,4283502,Csa,,Sandy loam,,Cambisols,"Haplic Cambisol with a sandyloam texture (27% coarse sand, 56% ﬁne sand, 7% silt, 10% clay) (WRB,2015)",Yes,The soils had not received any fertilization in the preceding ﬁve years and the 0–20m mm soil layer of each lysimeter was mechanically homogenized before the beginning of the experiment.,October,2012,August,2015,35,Multiple-intervention,"Organic fertilizer, Other",5,1 Non-amended soil (Control); 2 Injection of raw cattle slurry (100mm depth) (IS); 3 Band application of raw cattle slurry followed by soil incorporation (20mm depth) (SS); 4 Band application of acidiﬁed (pH=5.5) cattle slurry followed by soil incorporation (20mm depth) (AS); 5 Band application of acidiﬁed (pH=5.5) cattle-slurry without soil incorporation (ASS).,CI,Randomized Complete Block,3 per treatment,No,N2O,,Closed,,"closed chamber technique during the whole growing period (from slurry application till harvest) (Harrison et al., 1995). A detailed description of the methods used to assess gas ﬂuxes can be found in Fangueiro et al. (2015c, 2017)",,,CRA
101,,Ferrara (2017),"Ferrara RM, Mazza G, Muschitiello C, Castellini M, Stellacci AM, Navarro A, Lagomarsino A, Vitti C, Rossi R, Rana G. Short-term effects of conversion to no-tillage on respiration and chemical-physical properties of the soil: a case study in wheat cropping system in semi-dry environment. Italian Journal of Agrometeorology. 2017: 1; 47-58.","Ferrara RM, Mazza G, Muschitiello C, Castellini M, Stellacci AM, Navarro A, Lagomarsino A, Vitti C, Rossi R, Rana G",Short-term effects of conversion to no-tillage on respiration and chemical-physical properties of the soil: a case study in wheat cropping system in semi-dry environment,2017,Italian Journal of Agrometeorology,Article,rossana.ferrara@crea.gov.it,,Italy,743909,4542809,Cfa,,Silty clay,,,"The soil was classifi ed as silty clay (42% clay, 44% silt and 14% sand) according to the USDA classifi cation and the terrain was slightly in slope",Yes,The field converted to NT four years before the beginning of the experiment can be considered in the so-called transition period. The cropping system during this phase consisted in a short rotation of durum wheat followed by a forage legume-cereal intercropping. In this study the preceding crop was a vetch-barley winter herbage,April,2015,June,2015,3,Tillage,,2,"The two treatments, CT (ploughing depth = 0.25 m) and NT, were replicated two times and arranged in four plots (CT1, CT2, NT1, NT2",CI,Paired design,2 per treatment,No,CO2,Static chamber,,,"The chamber consists of a PVC pot containing an air stirrer fan and pressure equalisation vent in order to mix the air and avoid pressure differences, which could affect the evolution of CO2 from the soil surface. The 11 stainless steel collars were positioned in the plots few days before the starting of the CO2 flux measurements","The measurements were performed with a portable ADC LCPro+ analyser (Bioscientific Ltd, UK) coupled to a soil hood which is a chamber incorporating an enclosed volume (995 cm3)",Coordinates given by paper itself are off,CRA
102,,Forte (2017),"Forte A, Fagnano M, Fierro A. Potential role of compost and green manure amendment to mitigate soil GHGs emissions in Mediterranean drip irrigated maize production systems. Journal of Environmental Management. 2017: 197; 68-78.","Forte A, Fagnano M, Fierro A",Potential role of compost and green manure amendment to mitigate soil GHGs emissions in Mediterranean drip irrigated maize production systems,2017,Journal of Environmental Management,Article,anforte@unina.it,,Italy,497180,4496205,Csa,,Sandy clay loam,,Vertisols,Vertic Haploxeralf with a sandy-clay-loam texture,Yes,previously cropped with durum wheat was converted to maize cultivation in fall 2006,October,2007,October,2008,13,Tillage,,5,"5 treatments all of which were plowed using a mouldboard during the fall; urea fertilization at maize sowing (CONV), 130 kg N /Ha of composet at maize sowing (COM1), 260 kg N/Ha of compost at maize sowing (COM2), vetch chopping and incorporation as green manure during maize sowing (GMAN), and a control (CONT)",CI,Randomized Complete Block,4 per treatment,No,"N2O, CO2",Static chamber,Closed,Opaque,Stainless steel chambers (30 cm x 10 cm) equipped with white teflon lids,Photoacoustic Field Gas Monitor (Innova),,CRA
103,,Forte (2017),"Forte A, Fiorentino N, Fagnano M, Fierro A. Mitigation impact of minimum tillage on CO2 and N2O emissions from a Mediterranean maize cropped soil under low-water input management. Soil & Tillage Research. 2017: 166; 167-178.","Forte A, Fiorentino N, Fagnano M, Fierro A",Mitigation impact of minimum tillage on CO2 and N2O emissions from a Mediterranean maize cropped soil under low-water input management,2017,Soil & Tillage Research,Article,anforte@unina.it,,Italy,497180,4496205,Csa,,Sandy clay loam,Vertisol,,"The soil is a typical Vertic Haploxeralf (USDA soil
 taxonomy; Soil Survey Staff, 2014), with a sandy-clay-loam
 texture.",Yes,"an agricultural field previously cropped with durum wheat after mouldboard ploughing,",October,2006,September,2008,24,Tillage,,2,"2 treatments; conventional mouldboard ploughing (CT, 30 cm depth) and minimum tillage (MT, by rotary harrow)",CI,Randomized Complete Block,4 per treatment,Yes,"N2O, CO2",Static chamber,Closed,,"Measurements of daily bi-hourly CO2 and N2O emissions from
 soil (10–12 measurements per day) were performed through
 automated closed static chambers (Ø = 30 cm, h = 10 cm), which
 were coupled to a 1412- Photoacoustic Field Gas Monitor (Innova)
 by means of a multipoint autosampler. The stainless steel chambers
 were
 fixed on frames permanently inserted into the soil (5 cm
 deep) and were equipped with: (i) lids automatically opening 180
 to avoid shading on the monitored soil, (ii) a vent valve to avoid
 pressure variations inside",Photoacoustic Field Gas Monitor (Innova 1412),,CRA
104,,Franchini (2007),"Franchini JC, Crispino CC, Souza RA, Torres E, Hungria M. Microbiological parameters as indicators of soil quality under various soil management and crop rotation systems in souther Brazil. Soil Tillage & Research. 2007: 92; 18-29.","Franchini JC, Crispino CC, Souza RA, Torres E, Hungria M",Microbiological parameters as indicators of soil quality under various soil management and crop rotation systems in souther Brazil,2007,Soil Tillage and Research,Article,hungria@cnpso.embrapa.br,,Brazil,481237,7436173,Cfa,,,Oxisol,,"oxisol, Rhodic Eutrudox",No,,NR,1997,November,2001,58,Tillage,,2,"two soil management systems (NT, only a narrow
 channel is opened in the sowing row and CT, soil is
 ploughed and disked/harrowed),",CI,Randomized Complete Block,4 per treatment,Yes,CO2,,,,"CO2 was assayed only in crop rotations 2
 and 3, with a static chamber (PVC pipes, 10 cm 
 20 cm, diameter  length) and the soda lime trap
 method, modified from Anderson (1982). A plastic
 receptacle containing 10 mL of 1N NaOH was attached
 inside each chamber, to trap the evolved CO2; the
 chambers were buried at approximately 5-cm depth, six
 per replicate plot. If plant residues were present on the
 soil surface, they were kept inside the chambers. For
 each sampling time, three out of the six chambers were
 closed with a PVC cap and sealed with a rubber ring to
 prevent CO2 losses.","The plastic receptacles containing NaOH were replaced
 every Monday and Friday. The CO2 captured was
 indirectly determined after the addition of saturated BaCl2 to the NaOH solution, followed by the titration of
 the non-consumed NaOH with HCl, and values were
 expressed as g of CO2–C m2 day1.",,CRA
105,,Franzluebbers (1995),"Franzluebbers AJ, Hons FM, Zuberer DA. Tillage and crop effects on seasonal dynamics of soil CO2 evolution, water content, temperature, and bulk density. Applied Soil Ecology. 1995: 2; 95-109.","Franzluebbers AJ, Hons FM, Zuberer DA","Tillage and crop effects on seasonal dynamics of soil CO2 evolution, water content, temperature, and bulk density",1995,Applied Soil Ecology,Article,,,USA,30 32 N,94 26 W,Cfa,,Clay loam,,,"Weswood silty clay loam (fine, mixed, thermic Fluventic Ustochrept)",No,,NR,1982,June,1993,126,Tillage,,2,conventional and no tillage. Conventional tillage was disking (100±150 mm depth) and bedding in sorghum [Sorghum bicolor (L.) Moench] and soybean [Glycine max (L.) Merr.] and disking only in wheat (Triticum aestivum L.),CI,Paired design,4 per treatment,No,CO2,Static chamber,,,In situ soil CO2 evolution was determined 57 times using a static chamber (0.018 m2) with alkali absorption during the nighttime only,Alkali absorption,,CRA
106,,Franzluebbers (1995),"Franzluebbers AJ, Hons FM, Zuberer DA. Tillage and crop effects on seasonal dynamics of soil CO2 evolution, water content, temperature, and bulk density. Applied Soil Ecology. 1995: 2; 95-109.","Franzluebbers AJ, Hons FM, Zuberer DA","Tillage and crop effects on seasonal dynamics of soil CO2 evolution, water content, temperature, and bulk density",1995,Applied Soil Ecology,Article,,,USA,362497,3378759,Cfa,,Clay loam,,,"Weswood silty clay loam (fine, mixed, thermic Fluventic Ustochrept)",No,,NR,1982,June,1993,126,Tillage,,2,conventional and no tillage. Conventional tillage was disking (100±150 mm depth) and bedding in sorghum [Sorghum bicolor (L.) Moench] and soybean [Glycine max (L.) Merr.] and disking only in wheat (Triticum aestivum L.),CI,Paired design,4 per treatment,No,CO2,Static chamber,,,In situ soil CO2 evolution was determined 57 times using a static chamber (0.018 m2) with alkali absorption during the nighttime only,Alkali absorption,,CRA
